MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
robin hood: prince of thieves,robin-hood:-prince-of-thieves.html," $50,000,000"," $165,493,908"," $165,493,908"
jerry maguire,jerry-maguire.html," $50,000,000"," $153,952,592"," $153,952,592"
as good as it gets,as-good-as-it-gets.html," $50,000,000"," $148,478,011"," $148,478,011"
super 8,super-8.html," $50,000,000"," $127,004,179"," $127,004,179"
erin brockovich,erin-brockovich.html," $50,000,000"," $125,548,685"," $125,548,685"
yes man,yes-man.html," $50,000,000"," $97,690,976"," $97,690,976"
stepmom,stepmom.html," $50,000,000"," $91,137,662"," $91,137,662"
failure to launch,failure-to-launch.html," $50,000,000"," $88,715,192"," $88,715,192"
"crazy, stupid, love","crazy,-stupid,-love.html"," $50,000,000"," $84,351,197"," $84,351,197"
moneyball,moneyball.html," $50,000,000"," $75,605,492"," $75,605,492"
v for vendetta,v-for-vendetta.html," $50,000,000"," $70,511,035"," $70,511,035"
outbreak,outbreak.html," $50,000,000"," $67,823,573"," $67,823,573"
race to witch mountain,race-to-witch-mountain.html," $50,000,000"," $67,172,595"," $67,172,595"
i am number four,i-am-number-four.html," $50,000,000"," $55,100,437"," $55,100,437"
american made,american-made.html," $50,000,000"," $51,342,000"," $51,342,000"
syriana,syriana.html," $50,000,000"," $50,824,620"," $50,824,620"
the book of life,the-book-of-life.html," $50,000,000"," $50,151,543"," $50,151,543"
absolute power,absolute-power.html," $50,000,000"," $50,068,310"," $50,068,310"
the game,the-game.html," $50,000,000"," $48,265,581"," $48,265,581"
g.i. jane,g.i.-jane.html," $50,000,000"," $48,169,156"," $48,169,156"
the replacements,the-replacements.html," $50,000,000"," $44,737,059"," $44,737,059"
the beach,the-beach.html," $50,000,000"," $39,778,599"," $39,778,599"
ninja assassin,ninja-assassin.html," $50,000,000"," $38,122,883"," $38,122,883"
assassins,assassins.html," $50,000,000"," $30,306,268"," $30,306,268"
defiance,defiance.html," $50,000,000"," $28,644,813"," $28,644,813"
hannibal rising,hannibal-rising.html," $50,000,000"," $27,669,725"," $27,669,725"
basic,basic.html," $50,000,000"," $26,599,248"," $26,599,248"
escape from l.a.,escape-from-l.a..html," $50,000,000"," $25,426,861"," $25,426,861"
hellboy,hellboy.html," $50,000,000"," $21,903,748"," $21,903,748"
dream house,dream-house.html," $50,000,000"," $21,302,340"," $21,302,340"
gamer,gamer.html," $50,000,000"," $20,534,907"," $20,534,907"
the life of david gale,the-life-of-david-gale.html," $50,000,000"," $19,694,635"," $19,694,635"
eastern promises,eastern-promises.html," $50,000,000"," $17,181,265"," $17,181,265"
fair game,fair-game.html," $50,000,000"," $11,497,497"," $11,497,497"
drive angry,drive-angry.html," $50,000,000"," $10,721,033"," $10,721,033"
jade,jade.html," $50,000,000"," $9,812,870"," $9,812,870"
death to smoochy,death-to-smoochy.html," $50,000,000"," $8,355,815"," $8,355,815"
the big bounce,the-big-bounce.html," $50,000,000"," $6,471,394"," $6,471,394"
hannibal the conqueror,hannibal-the-conqueror.html," $50,000,000", $0, $0
anna karenina,anna-karenina.html," $49,000,000"," $12,816,367"," $12,816,367"
indiana jones and the last crusade,indiana-jones-and-the-last-crusade.html," $48,000,000"," $197,171,806"," $197,171,806"
traffic,traffic.html," $48,000,000"," $124,107,476"," $124,107,476"
panic room,panic-room.html," $48,000,000"," $95,308,367"," $95,308,367"
the thomas crown affair,the-thomas-crown-affair.html," $48,000,000"," $69,304,264"," $69,304,264"
three kings,three-kings.html," $48,000,000"," $60,652,036"," $60,652,036"
kate and leopold,kate-and-leopold.html," $48,000,000"," $47,095,453"," $47,095,453"
out of sight,out-of-sight.html," $48,000,000"," $37,562,568"," $37,562,568"
the cable guy,the-cable-guy.html," $47,000,000"," $60,240,295"," $60,240,295"
earth,earth.html," $47,000,000"," $32,011,576"," $32,011,576"
solaris,solaris.html," $47,000,000"," $14,970,038"," $14,970,038"
silence,silence.html," $46,500,000"," $7,100,177"," $7,100,177"
my best friend's wedding,my-best-friend's-wedding.html," $46,000,000"," $126,813,153"," $126,813,153"
star trek: first contact,star-trek:-first-contact.html," $46,000,000"," $92,027,888"," $92,027,888"
insomnia,insomnia.html," $46,000,000"," $67,263,182"," $67,263,182"
courage under fire,courage-under-fire.html," $46,000,000"," $59,003,384"," $59,003,384"
arthur and the war of two worlds,arthur-and-the-war-of-two-worlds.html," $45,500,000"," $347,136"," $347,136"
liar liar,liar-liar.html," $45,000,000"," $181,410,615"," $181,410,615"
a bug's life,a-bug's-life.html," $45,000,000"," $162,798,565"," $162,798,565"
the flintstones,the-flintstones.html," $45,000,000"," $130,531,208"," $130,531,208"
scary movie 3,scary-movie-3.html," $45,000,000"," $110,000,082"," $110,000,082"
training day,training-day.html," $45,000,000"," $76,261,036"," $76,261,036"
the girl on the train,the-girl-on-the-train.html," $45,000,000"," $75,395,035"," $75,395,035"
scary movie 2,scary-movie-2.html," $45,000,000"," $71,277,420"," $71,277,420"
blade,blade.html," $45,000,000"," $70,141,876"," $70,141,876"
the bounty hunter,the-bounty-hunter.html," $45,000,000"," $67,061,228"," $67,061,228"
tin cup,tin-cup.html," $45,000,000"," $53,854,588"," $53,854,588"
the hitchhiker's guide to the galaxy,the-hitchhiker's-guide-to-the-galaxy.html," $45,000,000"," $51,019,112"," $51,019,112"
cellular,cellular.html," $45,000,000"," $32,003,620"," $32,003,620"
dune,dune.html," $45,000,000"," $27,447,471"," $27,447,471"
revolutionary road,revolutionary-road.html," $45,000,000"," $22,951,340"," $22,951,340"
frankenstein,frankenstein.html," $45,000,000"," $22,006,296"," $22,006,296"
the ghost writer,the-ghost-writer.html," $45,000,000"," $15,541,549"," $15,541,549"
dredd,dredd.html," $45,000,000"," $13,414,714"," $13,414,714"
deep rising,deep-rising.html," $45,000,000"," $11,203,026"," $11,203,026"
welcome to marwen,welcome-to-marwen.html," $45,000,000"," $10,763,520"," $10,763,520"
big trouble,big-trouble.html," $45,000,000"," $7,262,288"," $7,262,288"
argo,argo.html," $44,500,000"," $136,025,503"," $136,025,503"
the fugitive,the-fugitive.html," $44,000,000"," $183,875,760"," $183,875,760"
the heat,the-heat.html," $43,000,000"," $159,581,587"," $159,581,587"
28 days,28-days.html," $43,000,000"," $37,035,515"," $37,035,515"
the mechanic,the-mechanic.html," $42,500,000"," $29,121,498"," $29,121,498"
notting hill,notting-hill.html," $42,000,000"," $116,089,678"," $116,089,678"
red riding hood,red-riding-hood.html," $42,000,000"," $37,662,162"," $37,662,162"
licence to kill,licence-to-kill.html," $42,000,000"," $34,667,015"," $34,667,015"
15 minutes,15-minutes.html," $42,000,000"," $24,375,436"," $24,375,436"
lord of war,lord-of-war.html," $42,000,000"," $24,149,632"," $24,149,632"
8 mile,8-mile.html," $41,000,000"," $116,724,075"," $116,724,075"
the big year,the-big-year.html," $41,000,000"," $7,204,138"," $7,204,138"
the sixth sense,the-sixth-sense.html," $40,000,000"," $293,506,292"," $293,506,292"
the proposal,the-proposal.html," $40,000,000"," $163,958,031"," $163,958,031"
american hustle,american-hustle.html," $40,000,000"," $150,117,807"," $150,117,807"
back to the future part ii,back-to-the-future-part-ii.html," $40,000,000"," $118,450,002"," $118,450,002"
a time to kill,a-time-to-kill.html," $40,000,000"," $108,766,007"," $108,766,007"
the social network,the-social-network.html," $40,000,000"," $96,962,694"," $96,962,694"
he's just not that into you,he's-just-not-that-into-you.html," $40,000,000"," $93,953,653"," $93,953,653"
scary movie 4,scary-movie-4.html," $40,000,000"," $90,710,620"," $90,710,620"
scream 3,scream-3.html," $40,000,000"," $89,138,076"," $89,138,076"
back to the future part iii,back-to-the-future-part-iii.html," $40,000,000"," $88,055,283"," $88,055,283"
dumb and dumber to,dumb-and-dumber-to.html," $40,000,000"," $86,208,010"," $86,208,010"
the talented mr. ripley,the-talented-mr.-ripley.html," $40,000,000"," $81,292,135"," $81,292,135"
the last of the mohicans,the-last-of-the-mohicans.html," $40,000,000"," $75,505,856"," $75,505,856"
jfk,jfk.html," $40,000,000"," $70,405,498"," $70,405,498"
the final destination,the-final-destination.html," $40,000,000"," $66,477,700"," $66,477,700"
17 again,17-again.html," $40,000,000"," $64,167,069"," $64,167,069"
unknown,unknown.html," $40,000,000"," $63,686,397"," $63,686,397"
gothika,gothika.html," $40,000,000"," $59,588,068"," $59,588,068"
the lincoln lawyer,the-lincoln-lawyer.html," $40,000,000"," $58,009,200"," $58,009,200"
the prestige,the-prestige.html," $40,000,000"," $53,089,891"," $53,089,891"
the odd life of timothy green,the-odd-life-of-timothy-green.html," $40,000,000"," $51,853,450"," $51,853,450"
made of honor,made-of-honor.html," $40,000,000"," $46,012,734"," $46,012,734"
final destination 5,final-destination-5.html," $40,000,000"," $42,587,643"," $42,587,643"
autumn in new york,autumn-in-new-york.html," $40,000,000"," $37,752,931"," $37,752,931"
paul,paul.html," $40,000,000"," $37,412,945"," $37,412,945"
colombiana,colombiana.html," $40,000,000"," $36,665,854"," $36,665,854"
8mm,8mm.html," $40,000,000"," $36,443,442"," $36,443,442"
hanging up,hanging-up.html," $40,000,000"," $36,037,909"," $36,037,909"
the doors,the-doors.html," $40,000,000"," $34,416,893"," $34,416,893"
pay it forward,pay-it-forward.html," $40,000,000"," $33,508,922"," $33,508,922"
arthur,arthur.html," $40,000,000"," $33,035,397"," $33,035,397"
get rich or die tryin',get-rich-or-die-tryin'.html," $40,000,000"," $30,981,850"," $30,981,850"
the other boleyn girl,the-other-boleyn-girl.html," $40,000,000"," $26,814,957"," $26,814,957"
at first sight,at-first-sight.html," $40,000,000"," $22,365,133"," $22,365,133"
fantastic mr. fox,fantastic-mr.-fox.html," $40,000,000"," $21,002,919"," $21,002,919"
big miracle,big-miracle.html," $40,000,000"," $20,157,300"," $20,157,300"
detroit,detroit.html," $40,000,000"," $16,790,139"," $16,790,139"
get carter,get-carter.html," $40,000,000"," $14,967,182"," $14,967,182"
amelia,amelia.html," $40,000,000"," $14,279,575"," $14,279,575"
cirque du freak: the vampire's assistant,cirque-du-freak:-the-vampire's-assistant.html," $40,000,000"," $14,046,595"," $14,046,595"
new york minute,new-york-minute.html," $40,000,000"," $14,018,364"," $14,018,364"
pandorum,pandorum.html," $40,000,000"," $10,330,853"," $10,330,853"
raise the titanic,raise-the-titanic.html," $40,000,000"," $7,000,000"," $7,000,000"
the hurricane heist,the-hurricane-heist.html," $40,000,000"," $6,115,824"," $6,115,824"
victor frankenstein,victor-frankenstein.html," $40,000,000"," $5,775,076"," $5,775,076"
sunshine,sunshine.html," $40,000,000"," $3,688,560"," $3,688,560"
the hudsucker proxy,the-hudsucker-proxy.html," $40,000,000"," $2,816,518"," $2,816,518"
the time traveler's wife,the-time-traveler's-wife.html," $39,000,000"," $63,414,846"," $63,414,846"
frankenweenie,frankenweenie.html," $39,000,000"," $35,287,788"," $35,287,788"
serenity,serenity.html," $39,000,000"," $25,514,517"," $25,514,517"
shoot 'em up,shoot-'em-up.html," $39,000,000"," $12,796,824"," $12,796,824"
the ugly truth,the-ugly-truth.html," $38,000,000"," $88,915,214"," $88,915,214"
star trek: generations,star-trek:-generations.html," $38,000,000"," $75,671,262"," $75,671,262"
water for elephants,water-for-elephants.html," $38,000,000"," $58,709,717"," $58,709,717"
life as we know it,life-as-we-know-it.html," $38,000,000"," $53,374,681"," $53,374,681"
enough,enough.html," $38,000,000"," $39,177,215"," $39,177,215"
rush,rush.html," $38,000,000"," $26,947,624"," $26,947,624"
angel eyes,angel-eyes.html," $38,000,000"," $24,044,532"," $24,044,532"
the ninth gate,the-ninth-gate.html," $38,000,000"," $18,653,746"," $18,653,746"
the thing,the-thing.html," $38,000,000"," $16,999,934"," $16,999,934"
white squall,white-squall.html," $38,000,000"," $10,229,300"," $10,229,300"
the master,the-master.html," $37,500,000"," $16,247,159"," $16,247,159"
twilight,twilight.html," $37,000,000"," $192,769,854"," $192,769,854"
we're the millers,we're-the-millers.html," $37,000,000"," $150,394,119"," $150,394,119"
the town,the-town.html," $37,000,000"," $92,186,262"," $92,186,262"
burn after reading,burn-after-reading.html," $37,000,000"," $60,355,347"," $60,355,347"
magnolia,magnolia.html," $37,000,000"," $22,450,975"," $22,450,975"
john q,john-q.html," $36,000,000"," $71,026,631"," $71,026,631"
hot tub time machine,hot-tub-time-machine.html," $36,000,000"," $50,269,859"," $50,269,859"
breakdown,breakdown.html," $36,000,000"," $50,159,144"," $50,159,144"
collateral beauty,collateral-beauty.html," $36,000,000"," $31,016,021"," $31,016,021"
reindeer games,reindeer-games.html," $36,000,000"," $23,360,779"," $23,360,779"
snow falling on cedars,snow-falling-on-cedars.html," $36,000,000"," $14,378,353"," $14,378,353"
gattaca,gattaca.html," $36,000,000"," $12,532,777"," $12,532,777"
it,it.html," $35,000,000"," $327,481,748"," $327,481,748"
the hangover,the-hangover.html," $35,000,000"," $277,322,503"," $277,322,503"
the blind side,the-blind-side.html," $35,000,000"," $255,959,475"," $255,959,475"
batman,batman.html," $35,000,000"," $251,188,924"," $251,188,924"
true grit,true-grit.html," $35,000,000"," $171,243,005"," $171,243,005"
rush hour,rush-hour.html," $35,000,000"," $141,186,864"," $141,186,864"
the devil wears prada,the-devil-wears-prada.html," $35,000,000"," $124,740,460"," $124,740,460"
horrible bosses,horrible-bosses.html," $35,000,000"," $117,538,559"," $117,538,559"
spy kids,spy-kids.html," $35,000,000"," $112,692,062"," $112,692,062"
saving mr. banks,saving-mr.-banks.html," $35,000,000"," $83,299,761"," $83,299,761"
star trek: the motion picture,star-trek:-the-motion-picture.html," $35,000,000"," $82,258,456"," $82,258,456"
the english patient,the-english-patient.html," $35,000,000"," $78,716,374"," $78,716,374"
this is 40,this-is-40.html," $35,000,000"," $67,544,505"," $67,544,505"
l.a. confidential,l.a.-confidential.html," $35,000,000"," $64,604,977"," $64,604,977"
a nightmare on elm street,a-nightmare-on-elm-street.html," $35,000,000"," $63,075,011"," $63,075,011"
the cell,the-cell.html," $35,000,000"," $61,280,963"," $61,280,963"
the man in the iron mask,the-man-in-the-iron-mask.html," $35,000,000"," $56,968,169"," $56,968,169"
tmnt,tmnt.html," $35,000,000"," $54,149,098"," $54,149,098"
malcolm x,malcolm-x.html," $35,000,000"," $48,169,910"," $48,169,910"
poltergeist,poltergeist.html," $35,000,000"," $47,425,125"," $47,425,125"
license to wed,license-to-wed.html," $35,000,000"," $43,799,818"," $43,799,818"
donnie brasco,donnie-brasco.html," $35,000,000"," $41,954,997"," $41,954,997"
max payne,max-payne.html," $35,000,000"," $40,689,393"," $40,689,393"
resident evil,resident-evil.html," $35,000,000"," $40,119,709"," $40,119,709"
the ladykillers,the-ladykillers.html," $35,000,000"," $39,692,139"," $39,692,139"
the back-up plan,the-back-up-plan.html," $35,000,000"," $37,490,007"," $37,490,007"
the pianist,the-pianist.html," $35,000,000"," $32,519,322"," $32,519,322"
mirrors,mirrors.html," $35,000,000"," $30,691,439"," $30,691,439"
queen of the damned,queen-of-the-damned.html," $35,000,000"," $30,307,804"," $30,307,804"
flash gordon,flash-gordon.html," $35,000,000"," $27,107,960"," $27,107,960"
blast from the past,blast-from-the-past.html," $35,000,000"," $26,613,620"," $26,613,620"
heist,heist.html," $35,000,000"," $23,483,357"," $23,483,357"
premium rush,premium-rush.html," $35,000,000"," $20,275,446"," $20,275,446"
wonder boys,wonder-boys.html," $35,000,000"," $19,389,454"," $19,389,454"
the four feathers,the-four-feathers.html," $35,000,000"," $18,306,166"," $18,306,166"
flight of the intruder,flight-of-the-intruder.html," $35,000,000"," $14,471,440"," $14,471,440"
the tree of life,the-tree-of-life.html," $35,000,000"," $13,305,665"," $13,305,665"
american outlaws,american-outlaws.html," $35,000,000"," $13,264,986"," $13,264,986"
the shipping news,the-shipping-news.html," $35,000,000"," $11,405,825"," $11,405,825"
whiteout,whiteout.html," $35,000,000"," $10,275,638"," $10,275,638"
bound by honor,bound-by-honor.html," $35,000,000"," $4,496,583"," $4,496,583"
le hussard sur le toit,le-hussard-sur-le-toit.html," $35,000,000"," $1,320,043"," $1,320,043"
a few good men,a-few-good-men.html," $33,000,000"," $141,340,178"," $141,340,178"
big momma's house,big-momma's-house.html," $33,000,000"," $117,559,438"," $117,559,438"
star wars ep. vi: return of the jedi,star-wars-ep.-vi:-return-of-the-jedi.html," $32,500,000"," $309,205,079"," $309,205,079"
bridesmaids,bridesmaids.html," $32,500,000"," $169,211,718"," $169,211,718"
the reader,the-reader.html," $32,500,000"," $34,194,407"," $34,194,407"
the big wedding,the-big-wedding.html," $32,500,000"," $21,819,348"," $21,819,348"
source code,source-code.html," $32,000,000"," $54,712,227"," $54,712,227"
bringing out the dead,bringing-out-the-dead.html," $32,000,000"," $16,640,210"," $16,640,210"
apocalypse now,apocalypse-now.html," $31,500,000"," $83,471,511"," $83,471,511"
42,42.html," $31,000,000"," $95,020,213"," $95,020,213"
flight,flight.html," $31,000,000"," $93,772,375"," $93,772,375"
mr. hollandâs opus,mr.-hollandâs-opus.html," $31,000,000"," $82,582,604"," $82,582,604"
frequency,frequency.html," $31,000,000"," $44,983,704"," $44,983,704"
get shorty,get-shorty.html," $30,250,000"," $72,021,008"," $72,021,008"
ghostbusters,ghostbusters.html," $30,000,000"," $242,212,467"," $242,212,467"
toy story,toy-story.html," $30,000,000"," $191,796,233"," $191,796,233"
big daddy,big-daddy.html," $30,000,000"," $163,479,795"," $163,479,795"
speed,speed.html," $30,000,000"," $121,248,145"," $121,248,145"
the hunt for red october,the-hunt-for-red-october.html," $30,000,000"," $120,709,866"," $120,709,866"
remember the titans,remember-the-titans.html," $30,000,000"," $115,654,751"," $115,654,751"
the addams family,the-addams-family.html," $30,000,000"," $113,502,246"," $113,502,246"
analyze this,analyze-this.html," $30,000,000"," $106,885,658"," $106,885,658"
se7en,se7en.html," $30,000,000"," $100,125,643"," $100,125,643"
sisters,sisters.html," $30,000,000"," $87,044,645"," $87,044,645"
up in the air,up-in-the-air.html," $30,000,000"," $83,823,381"," $83,823,381"
the hitmanâs bodyguard,the-hitmanâs-bodyguard.html," $30,000,000"," $75,468,583"," $75,468,583"
looper,looper.html," $30,000,000"," $66,486,205"," $66,486,205"
midnight in paris,midnight-in-paris.html," $30,000,000"," $56,816,662"," $56,816,662"
life of the party,life-of-the-party.html," $30,000,000"," $53,059,911"," $53,059,911"
blow,blow.html," $30,000,000"," $52,990,775"," $52,990,775"
sicario,sicario.html," $30,000,000"," $46,889,293"," $46,889,293"
black rain,black-rain.html," $30,000,000"," $45,892,212"," $45,892,212"
full metal jacket,full-metal-jacket.html," $30,000,000"," $45,015,999"," $45,015,999"
the three stooges,the-three-stooges.html," $30,000,000"," $44,338,224"," $44,338,224"
john wick,john-wick.html," $30,000,000"," $43,037,835"," $43,037,835"
step up 3d,step-up-3d.html," $30,000,000"," $42,400,223"," $42,400,223"
drag me to hell,drag-me-to-hell.html," $30,000,000"," $42,100,625"," $42,100,625"
hanna,hanna.html," $30,000,000"," $40,259,119"," $40,259,119"
larry crowne,larry-crowne.html," $30,000,000"," $35,608,245"," $35,608,245"
carrie,carrie.html," $30,000,000"," $35,266,619"," $35,266,619"
take the lead,take-the-lead.html," $30,000,000"," $34,742,066"," $34,742,066"
9,9.html," $30,000,000"," $31,749,894"," $31,749,894"
get on up,get-on-up.html," $30,000,000"," $30,569,935"," $30,569,935"
winnie the pooh,winnie-the-pooh.html," $30,000,000"," $26,692,846"," $26,692,846"
virtuosity,virtuosity.html," $30,000,000"," $23,998,226"," $23,998,226"
one true thing,one-true-thing.html," $30,000,000"," $23,337,196"," $23,337,196"
the next three days,the-next-three-days.html," $30,000,000"," $21,148,651"," $21,148,651"
runner runner,runner-runner.html," $30,000,000"," $19,316,646"," $19,316,646"
fright night,fright-night.html," $30,000,000"," $18,298,649"," $18,298,649"
eight legged freaks,eight-legged-freaks.html," $30,000,000"," $17,266,505"," $17,266,505"
the whole ten yards,the-whole-ten-yards.html," $30,000,000"," $16,323,969"," $16,323,969"
antitrust,antitrust.html," $30,000,000"," $10,965,209"," $10,965,209"
an unfinished life,an-unfinished-life.html," $30,000,000"," $8,535,575"," $8,535,575"
anna,anna.html," $30,000,000"," $7,743,794"," $7,743,794"
the imaginarium of doctor parnassus,the-imaginarium-of-doctor-parnassus.html," $30,000,000"," $7,689,607"," $7,689,607"
machine gun preacher,machine-gun-preacher.html," $30,000,000"," $538,690"," $538,690"
12 monkeys,12-monkeys.html," $29,000,000"," $57,141,459"," $57,141,459"
logan lucky,logan-lucky.html," $29,000,000"," $27,778,642"," $27,778,642"
confessions of a dangerous mind,confessions-of-a-dangerous-mind.html," $29,000,000"," $16,007,718"," $16,007,718"
mumford,mumford.html," $28,700,000"," $4,559,569"," $4,559,569"
the jacket,the-jacket.html," $28,500,000"," $6,301,131"," $6,301,131"
aladdin,aladdin.html," $28,000,000"," $217,350,219"," $217,350,219"
indiana jones and the temple of doom,indiana-jones-and-the-temple-of-doom.html," $28,000,000"," $179,880,271"," $179,880,271"
straight outta compton,straight-outta-compton.html," $28,000,000"," $161,197,785"," $161,197,785"
die hard,die-hard.html," $28,000,000"," $81,350,242"," $81,350,242"
the big short,the-big-short.html," $28,000,000"," $70,259,870"," $70,259,870"
miracle,miracle.html," $28,000,000"," $64,378,093"," $64,378,093"
dawn of the dead,dawn-of-the-dead.html," $28,000,000"," $58,990,765"," $58,990,765"
pride & prejudice,pride-&-prejudice.html," $28,000,000"," $38,372,662"," $38,372,662"
30 minutes or less,30-minutes-or-less.html," $28,000,000"," $37,053,924"," $37,053,924"
blade runner,blade-runner.html," $28,000,000"," $32,656,328"," $32,656,328"
we own the night,we-own-the-night.html," $28,000,000"," $28,563,179"," $28,563,179"
the spy next door,the-spy-next-door.html," $28,000,000"," $24,307,106"," $24,307,106"
brick mansions,brick-mansions.html," $28,000,000"," $20,396,829"," $20,396,829"
pride and prejudice and zombies,pride-and-prejudice-and-zombies.html," $28,000,000"," $10,907,291"," $10,907,291"
kundun,kundun.html," $28,000,000"," $5,686,694"," $5,686,694"
how to lose friends & alienate people,how-to-lose-friends-&-alienate-people.html," $28,000,000"," $2,775,593"," $2,775,593"
knocked up,knocked-up.html," $27,500,000"," $148,761,765"," $148,761,765"
a passage to india,a-passage-to-india.html," $27,500,000"," $27,187,653"," $27,187,653"
anonymous,anonymous.html," $27,500,000"," $4,463,292"," $4,463,292"
limitless,limitless.html," $27,000,000"," $79,249,455"," $79,249,455"
the blues brothers,the-blues-brothers.html," $27,000,000"," $57,229,890"," $57,229,890"
lake placid,lake-placid.html," $27,000,000"," $31,770,413"," $31,770,413"
dark city,dark-city.html," $27,000,000"," $14,435,076"," $14,435,076"
case 39,case-39.html," $27,000,000"," $13,261,851"," $13,261,851"
suspect zero,suspect-zero.html," $27,000,000"," $8,712,564"," $8,712,564"
shakespeare in love,shakespeare-in-love.html," $26,000,000"," $100,317,794"," $100,317,794"
pineapple express,pineapple-express.html," $26,000,000"," $87,341,380"," $87,341,380"
philadelphia,philadelphia.html," $26,000,000"," $77,324,422"," $77,324,422"
a bridge too far,a-bridge-too-far.html," $26,000,000"," $50,800,000"," $50,800,000"
final destination 2,final-destination-2.html," $26,000,000"," $46,896,664"," $46,896,664"
"o brother, where art thou?","o-brother,-where-art-thou?.html"," $26,000,000"," $45,506,619"," $45,506,619"
legion,legion.html," $26,000,000"," $40,168,080"," $40,168,080"
welcome to mooseport,welcome-to-mooseport.html," $26,000,000"," $14,469,428"," $14,469,428"
the curse of the jade scorpion,the-curse-of-the-jade-scorpion.html," $26,000,000"," $7,496,522"," $7,496,522"
blood and wine,blood-and-wine.html," $26,000,000"," $1,083,350"," $1,083,350"
w.,w..html," $25,100,000"," $25,534,493"," $25,534,493"
the help,the-help.html," $25,000,000"," $169,705,587"," $169,705,587"
gran torino,gran-torino.html," $25,000,000"," $148,095,302"," $148,095,302"
the bodyguard,the-bodyguard.html," $25,000,000"," $121,945,720"," $121,945,720"
schindlerâs list,schindlerâs-list.html," $25,000,000"," $96,898,818"," $96,898,818"
freddy vs. jason,freddy-vs.-jason.html," $25,000,000"," $82,622,655"," $82,622,655"
bridge to terabithia,bridge-to-terabithia.html," $25,000,000"," $82,234,139"," $82,234,139"
no country for old men,no-country-for-old-men.html," $25,000,000"," $74,273,505"," $74,273,505"
no strings attached,no-strings-attached.html," $25,000,000"," $70,662,220"," $70,662,220"
tombstone,tombstone.html," $25,000,000"," $56,505,065"," $56,505,065"
final destination 3,final-destination-3.html," $25,000,000"," $54,098,051"," $54,098,051"
madea's big happy family,madea's-big-happy-family.html," $25,000,000"," $53,345,287"," $53,345,287"
goodfellas,goodfellas.html," $25,000,000"," $46,743,809"," $46,743,809"
scarface,scarface.html," $25,000,000"," $44,942,821"," $44,942,821"
rugrats go wild,rugrats-go-wild.html," $25,000,000"," $39,402,572"," $39,402,572"
august: osage county,august:-osage-county.html," $25,000,000"," $37,738,810"," $37,738,810"
cradle 2 the grave,cradle-2-the-grave.html," $25,000,000"," $34,657,731"," $34,657,731"
august rush,august-rush.html," $25,000,000"," $31,664,162"," $31,664,162"
the shawshank redemption,the-shawshank-redemption.html," $25,000,000"," $28,241,469"," $28,241,469"
the losers,the-losers.html," $25,000,000"," $23,591,432"," $23,591,432"
punch-drunk love,punch-drunk-love.html," $25,000,000"," $17,791,031"," $17,791,031"
the ruins,the-ruins.html," $25,000,000"," $17,432,844"," $17,432,844"
"bright lights, big city","bright-lights,-big-city.html"," $25,000,000"," $16,118,077"," $16,118,077"
legend,legend.html," $25,000,000"," $15,502,112"," $15,502,112"
the box,the-box.html," $25,000,000"," $15,051,977"," $15,051,977"
the next best thing,the-next-best-thing.html," $25,000,000"," $14,983,572"," $14,983,572"
the girl next door,the-girl-next-door.html," $25,000,000"," $14,589,444"," $14,589,444"
fly me to the moon,fly-me-to-the-moon.html," $25,000,000"," $14,543,943"," $14,543,943"
warrior,warrior.html," $25,000,000"," $13,657,115"," $13,657,115"
serenity,serenity.html," $25,000,000"," $8,547,045"," $8,547,045"
the road,the-road.html," $25,000,000"," $8,114,270"," $8,114,270"
say it isn't so,say-it-isn't-so.html," $25,000,000"," $5,516,708"," $5,516,708"
deception,deception.html," $25,000,000"," $4,598,506"," $4,598,506"
legend,legend.html," $25,000,000"," $1,872,994"," $1,872,994"
where the truth lies,where-the-truth-lies.html," $25,000,000"," $872,142"," $872,142"
on the road,on-the-road.html," $25,000,000"," $720,828"," $720,828"
scream 2,scream-2.html," $24,000,000"," $101,363,301"," $101,363,301"
rocky balboa,rocky-balboa.html," $24,000,000"," $70,269,899"," $70,269,899"
the addams family,the-addams-family.html," $24,000,000"," $60,268,707"," $60,268,707"
the whole nine yards,the-whole-nine-yards.html," $24,000,000"," $57,262,492"," $57,262,492"
point break,point-break.html," $24,000,000"," $43,218,387"," $43,218,387"
i still know what you did last summer,i-still-know-what-you-did-last-summer.html," $24,000,000"," $40,020,622"," $40,020,622"
the men who stare at goats,the-men-who-stare-at-goats.html," $24,000,000"," $32,428,195"," $32,428,195"
double take,double-take.html," $24,000,000"," $29,823,162"," $29,823,162"
nurse betty,nurse-betty.html," $24,000,000"," $25,170,054"," $25,170,054"
star wars ep. v: the empire strikes back,star-wars-ep.-v:-the-empire-strikes-back.html," $23,000,000"," $290,271,960"," $290,271,960"
bad boys,bad-boys.html," $23,000,000"," $65,647,413"," $65,647,413"
final destination,final-destination.html," $23,000,000"," $53,302,314"," $53,302,314"
king kong,king-kong.html," $23,000,000"," $52,614,445"," $52,614,445"
the ides of march,the-ides-of-march.html," $23,000,000"," $40,962,534"," $40,962,534"
pitch black,pitch-black.html," $23,000,000"," $39,235,088"," $39,235,088"
her,her.html," $23,000,000"," $25,568,251"," $25,568,251"
eddie the eagle,eddie-the-eagle.html," $23,000,000"," $15,789,389"," $15,789,389"
