MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
ant-man,ant-man.html," $130,000,000"," $180,202,163"," $180,202,163"
mary poppins returns,mary-poppins-returns.html," $130,000,000"," $171,958,438"," $171,958,438"
megamind,megamind.html," $130,000,000"," $148,415,853"," $148,415,853"
bad boys ii,bad-boys-ii.html," $130,000,000"," $138,540,870"," $138,540,870"
logan,logan.html," $127,000,000"," $226,277,068"," $226,277,068"
harry potter and the sorcererâs stone,harry-potter-and-the-sorcererâs-stone.html," $125,000,000"," $317,871,467"," $317,871,467"
clash of the titans,clash-of-the-titans.html," $125,000,000"," $163,214,888"," $163,214,888"
godzilla,godzilla.html," $125,000,000"," $136,314,294"," $136,314,294"
prometheus,prometheus.html," $125,000,000"," $126,477,084"," $126,477,084"
batman & robin,batman-&-robin.html," $125,000,000"," $107,325,195"," $107,325,195"
total recall,total-recall.html," $125,000,000"," $58,877,969"," $58,877,969"
the 13th warrior,the-13th-warrior.html," $125,000,000"," $32,698,899"," $32,698,899"
life of pi,life-of-pi.html," $120,000,000"," $124,987,022"," $124,987,022"
ghost rider,ghost-rider.html," $120,000,000"," $115,802,596"," $115,802,596"
oblivion,oblivion.html," $120,000,000"," $89,107,235"," $89,107,235"
robocop,robocop.html," $120,000,000"," $58,607,007"," $58,607,007"
the fantastic four,the-fantastic-four.html," $120,000,000"," $56,117,548"," $56,117,548"
speed racer,speed-racer.html," $120,000,000"," $43,945,766"," $43,945,766"
the island,the-island.html," $120,000,000"," $35,818,913"," $35,818,913"
star wars ep. i: the phantom menace,star-wars-ep.-i:-the-phantom-menace.html," $115,000,000"," $474,544,677"," $474,544,677"
star wars ep. iii: revenge of the sith,star-wars-ep.-iii:-revenge-of-the-sith.html," $115,000,000"," $380,270,577"," $380,270,577"
star wars ep. ii: attack of the clones,star-wars-ep.-ii:-attack-of-the-clones.html," $115,000,000"," $310,676,740"," $310,676,740"
gravity,gravity.html," $110,000,000"," $274,092,705"," $274,092,705"
